Tree,MC,Timestamp,Port5_Atmos_pressure,Port5_VPD,Port5_Temp,Port5_RH,Port3_VPD,Port3_Atmos_pressure,Port3_RH,Port3_Temp,Port1_Solar,Port2_Solar,Port4_LWS_Count,Port4_LW_minutes_H,Port4_LW_minutes,Port6_LWS_Count,Port6_LW_minutes,Port6_LW_minutes_H
ET7,MC1,2023-06-02T09:00:00Z,87.87,0.14,19.8,0.938,0.18,87.86,0.924,19.8,22.5,22.3,567,15,15,521,15,15
ET7,MC1,2023-06-02T09:15:00Z,87.86,0.14,19.9,0.942,0.17,87.86,0.927,19.8,30,30.2,534,15,15,520,15,15
ET7,MC1,2023-06-02T09:30:00Z,87.84,0.16,20.1,0.933,0.19,87.84,0.919,20,41.9,43,498,15,15,502,15,15
ET7,MC1,2023-06-02T09:45:00Z,87.82,0.23,20.4,0.906,0.24,87.82,0.898,20.3,62.6,65.9,467,15,15,487,15,15
ET7,MC1,2023-06-02T10:00:00Z,87.81,0.28,20.9,0.887,0.29,87.8,0.883,20.8,72.3,74.2,469,15,15,473,15,15
ET7,MC1,2023-06-02T10:15:00Z,87.79,0.3,21.2,0.881,0.32,87.79,0.873,21.2,78.6,79.5,459,11,15,467,15,15
ET7,MC1,2023-06-02T10:30:00Z,87.78,0.34,21.5,0.868,0.36,87.78,0.861,21.5,98.5,102.4,467,13,15,460,15,14
ET7,MC1,2023-06-02T10:45:00Z,87.79,0.28,21.4,0.891,0.32,87.79,0.876,21.5,128.5,139,540,15,15,454,15,2
ET7,MC1,2023-06-02T11:00:00Z,87.8,0.24,21.6,0.906,0.29,87.8,0.886,21.7,145.9,167.2,529,15,15,451,15,0
ET7,MC1,2023-06-02T11:15:00Z,87.79,0.26,22,0.901,0.3,87.79,0.886,22,174,214.8,520,15,15,451,15,0
ET7,MC1,2023-06-02T11:30:00Z,87.79,0.3,22.3,0.89,0.34,87.78,0.874,22.4,158,193.4,511,15,15,451,15,0
ET7,MC1,2023-06-02T11:45:00Z,87.78,0.3,22.7,0.893,0.35,87.77,0.875,22.7,159.9,215.3,501,15,15,450,15,0
ET7,MC1,2023-06-02T12:00:00Z,87.74,0.42,23.1,0.853,0.44,87.74,0.845,23.1,188.8,277.4,487,15,15,450,6,0
ET7,MC1,2023-06-02T12:15:00Z,87.72,0.46,23,0.836,0.47,87.71,0.833,23,165,190.4,469,15,15,450,0,0
ET7,MC1,2023-06-02T12:30:00Z,87.71,0.47,22.9,0.832,0.5,87.71,0.825,23.2,180,317.5,451,7,15,449,0,0
ET7,MC1,2023-06-02T12:45:00Z,87.71,0.46,23.1,0.836,0.48,87.71,0.83,23.2,248.1,274.3,451,0,15,449,0,0
ET7,MC1,2023-06-02T13:00:00Z,87.69,0.43,22.7,0.844,0.44,87.69,0.842,22.7,173.4,232.7,451,0,15,450,0,0
