Tree,MC,Timestamp,Port3_RH,Port3_Temp,Port3_Atmos_pressure,Port3_VPD,Port5_Temp,Port5_VPD,Port5_RH,Port5_Atmos_pressure,Port1_Solar,Port2_Solar,Port4_LW_minutes,Port4_LWS_Count,Port4_LW_minutes_H,Port6_LW_minutes,Port6_LWS_Count,Port6_LW_minutes_H
FB2,MC2,2023-06-02T12:30:00Z,0.895,20.9,85.91,0.26,20.8,0.22,0.911,86.03,132.8,104.4,15,453,0,15,455,0
FB2,MC2,2023-06-02T12:45:00Z,0.909,20.6,85.9,0.22,20.4,0.19,0.921,86.02,135.9,95.4,15,452,0,15,455,0
FB2,MC2,2023-06-02T13:00:00Z,0.913,20.7,85.88,0.21,20.5,0.18,0.924,86.01,154.2,108,15,451,0,15,455,0
FB2,MC2,2023-06-02T13:15:00Z,0.913,20.6,85.87,0.21,20.5,0.18,0.924,86,137.5,93.9,15,451,0,15,455,0
FB2,MC2,2023-06-02T13:30:00Z,0.917,20.1,85.86,0.2,19.9,0.17,0.928,85.99,86.2,61.7,15,452,0,15,455,0
FB2,MC2,2023-06-02T13:45:00Z,0.932,19.7,85.84,0.15,19.6,0.14,0.94,85.97,84.8,65.4,15,452,0,15,455,0
FB2,MC2,2023-06-02T14:00:00Z,0.938,19.7,85.82,0.14,19.6,0.13,0.944,85.95,86.8,68.7,15,452,0,15,455,0
FB2,MC2,2023-06-02T14:15:00Z,0.918,20.1,85.8,0.19,20,0.18,0.925,85.93,95.2,77.3,15,452,0,15,455,0
FB2,MC2,2023-06-02T14:30:00Z,0.894,20.5,85.79,0.26,20.4,0.23,0.905,85.92,98.9,82.9,15,451,0,15,454,0
FB2,MC2,2023-06-02T14:45:00Z,0.881,21,85.76,0.29,20.9,0.26,0.895,85.89,104.9,90.1,15,451,0,15,454,0
FB2,MC2,2023-06-02T15:00:00Z,0.86,21.5,85.74,0.36,21.3,0.3,0.882,85.87,162.8,72.3,15,450,0,15,454,0
FB2,MC2,2023-06-02T15:15:00Z,0.839,21.9,85.73,0.42,21.8,0.38,0.855,85.86,79.1,55.1,15,450,0,15,453,0
FB2,MC2,2023-06-02T15:30:00Z,0.832,21.8,85.73,0.44,21.7,0.41,0.843,85.86,59.5,48.2,15,450,0,15,453,0
FB2,MC2,2023-06-02T15:45:00Z,0.838,21.6,85.73,0.42,21.6,0.39,0.849,85.86,70.5,45.6,15,450,0,15,453,0
FB2,MC2,2023-06-02T16:00:00Z,0.846,21.3,85.74,0.39,21.3,0.36,0.858,85.87,92.8,48.3,15,451,0,15,453,0
FB2,MC2,2023-06-02T16:15:00Z,0.863,21.3,85.75,0.35,21.2,0.31,0.876,85.88,57.5,39,15,451,0,15,453,0
FB2,MC2,2023-06-02T16:30:00Z,0.875,20.9,85.76,0.31,20.8,0.28,0.888,85.88,43.2,26.6,15,451,0,15,454,0
